name,price,link
Cocteau Twins - Heaven Or Las Vegas (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00022618-cocteau-twins-heaven-or-las-vegas
Courtney Barnett / Kurt Vile - Lotta Sea Lice (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00038405-courtney-barnett-kurt-vile-lotta-sea-lice
Cranes - Self Non-Self (Vinyle Neuf),$32.99,https://aux33tours.com/collections/nouveautes/products/rs00056902-cranes-self-non-self
Daniel Johnston - Hi How Are You (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/ln00001648-daniel-johnston-hi-how-are-you
Dengue Fever - Dengue Fever (Vinyle Neuf),$23.99,https://aux33tours.com/collections/nouveautes/products/rs00053436-dengue-fever-dengue-fever
Elbow - Leaders Of the Free World (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00027885-elbow-leaders-of-the-free-world
Elisapie - The Ballad Of The Runaway Girl (Vinyle Neuf),$16.99,https://aux33tours.com/collections/nouveautes/products/ln00043985-elisapie-the-ballad-of-the-runaway-girl
Father John Misty - Fear Fun (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/father-john-misty-fear-fun
Father John Misty - I Love You Honeybear (Vinyle Neuf),$36.99,https://aux33tours.com/collections/nouveautes/products/father-john-misty-i-love-you-honeybear
Flaming Lips - The Soft Bulletin: Live At Red Rocks (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/flaming-lips-the-soft-bulletin-live-at-red-rocks
Florence and the Machine - Lungs (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/ln00003665-florence-and-the-machine-lungs
Foo Fighters - Greatest Hits (Vinyle Neuf),$49.99,https://aux33tours.com/collections/nouveautes/products/ln00005006-foo-fighters-greatest-hits
Frank Black - Christmass (Vinyle Neuf),$43.99,https://aux33tours.com/collections/nouveautes/products/ln00013700-frank-black-christmass
Girls In Hawaii - Everest (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/ln00030983-girls-in-hawaii-everest
Godspeed You Black Emperor - F#A#AU (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/ln00001182-godspeed-you-black-emperor-faau
Godspeed You Black Emperor - Slow Riot For the New Zero Kanada (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/godspeed-you-black-emperor-slow-riot-for-the-new-zero-kanada
Grimes - Miss Anthropocene (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/grimes-miss-anthropocene
Grimes - Visions (Vinyle Neuf),$18.99,https://aux33tours.com/collections/nouveautes/products/ln00013280-grimes-visions
Gun Club - Live At The Hacienda 84 (Vinyle Neuf),$43.99,https://aux33tours.com/collections/nouveautes/products/rs00059465-gun-club-live-at-the-hacienda-84
Hippo Campus - Landmark (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/ln00035154-hippo-campus-landmark
Hot Hot Heat - Make Up The Breakdown (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00003019-hot-hot-heat-make-up-the-breakdown
Interpol - Turn On the Bright Lights (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/interpol-turn-on-the-bright-lights
Jack White - Entering Heaven Alive (Indie) (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/rs00055868-jack-white-entering-heaven-alive-colourindie-exclusive
Jimmy Eat World - Bleed American (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00028957-jimmy-eat-world-bleed-american
Khruangbin - Mordechai (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/384702-khruangbin-mordechai
King Gizzard and the Lizard Wizard - Flying Microtonal Banana (Vinyle Neuf),$45.99,https://aux33tours.com/collections/nouveautes/products/ln00034785-king-gizzard-and-the-lizard-wizard-flying-microtonal-banana
King Gizzard And The Lizard Wizard - Kg (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00058953-king-gizzard-and-the-lizard-wizard-kg
King Gizzard And The Lizard Wizard - LW (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00061698-king-gizzard-and-the-lizard-wizard-lw
La Femme - Teatro Lucido (Vinyle Neuf),$37.99,https://aux33tours.com/collections/nouveautes/products/rs00058967-la-femme-teatro-lucido
M83 - Saturdays = Youth (RSD Essentials) (Vinyle Neuf),$66.99,https://aux33tours.com/collections/nouveautes/products/rs00058484-m83-saturdays-youth-rsd-essentials
Mark Lanegan Band - Bubblegum (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00007684-mark-lanegan-band-bubblegum
Matt Holubowski - Epilogue (Vinyle Neuf),$11.99,https://aux33tours.com/collections/nouveautes/products/ln00041245-matt-holubowski-epilogue
Mazzy Star - So Tonight That I Might See (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/ln00005822-mazzy-star-so-tonight-that-i-might-see
Men I Trust - Oncle Jazz (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/ln00055182-men-i-trust-oncle-jazz-violet
Metric - Formentera (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/rs00057482-metric-formentera
MGMT - Congratulations (Vinyle Neuf),$42.99,https://aux33tours.com/collections/nouveautes/products/ln00020978-mgmt-congratulations
National - Boxer (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00000299-national-boxer
National - High Violet (Vinyle Neuf),$33.99,https://aux33tours.com/collections/nouveautes/products/national-high-violet
National - Trouble Will Find Me (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00017977-national-trouble-will-find-me
Nine Inch Nails - Pretty Hate Machine (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/ln00011201-nine-inch-nails-pretty-hate-machine
Oso Oso - Sore Thumb (Vinyle Neuf),$23.99,https://aux33tours.com/collections/nouveautes/products/rs00056771-oso-oso-sore-thumb
Our Lady Peace - Naveed (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00032808-our-lady-peace-naveed
Our Lady Peace - Spiritual Machines (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00040338-our-lady-peace-spiritual-machines
Parcels - Day/Night (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/rs00051094-parcels-daynight
Patrick Watson - Love Songs For Robots (Vinyle Neuf),$31.99,https://aux33tours.com/collections/nouveautes/products/ln00025888-patrick-watson-love-songs-for-robots
Pearl Jam - No Code (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/ln00032183-pearl-jam-no-code
Phish - The White Tape (Vinyle Neuf),$27.99,https://aux33tours.com/collections/nouveautes/products/134788-phish-the-white-tape
Pixies - Bossanova (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/ln00003681-pixies-bossanova
Pixies - Doolittle (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/ln00000968-pixies-doolittle
Plants and Animals - Waltzed In From the Rumbling (Vinyle Neuf),$22.99,https://aux33tours.com/collections/nouveautes/products/plants-and-animals-waltzed-in-from-the-rumbling
Puscifer - Conditions Of My Parole (Vinyle Neuf),$42.99,https://aux33tours.com/collections/nouveautes/products/ln00011914-puscifer-conditions-of-my-parole
Radiohead - A Moon Shaped Pool (Vinyle Neuf),$44.99,https://aux33tours.com/collections/nouveautes/products/radiohead-a-moon-shaped-pool
Radiohead - In Rainbows (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/radiohead-in-rainbows
Radiohead - Kid A Mnesia (Vinyle Neuf),$67.99,https://aux33tours.com/collections/nouveautes/products/rs00050150-radiohead-kid-a-mnesia
Rage Against the Machine - Rage Against the Machine (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00026951-rage-against-the-machine-rage-against-the-machine
Ria Mae - Ria Mae (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00029949-ria-mae-ria-mae
Rick White - Plays The Sadies (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00059529-rick-white-plays-the-sadies
Rival Schools - United By Fate (Vinyle Neuf),$25.99,https://aux33tours.com/collections/nouveautes/products/rs00026322-rival-schools-united-by-fate
She and Him - A Very She and Him Christmas (Vinyle Neuf),$21.99,https://aux33tours.com/collections/nouveautes/products/she-and-him-a-very-she-and-him-christmas
Sigur Ros - Takk (Vinyle Neuf),$56.99,https://aux33tours.com/collections/nouveautes/products/ln00028021-sigur-ros-takk
Slift - Levitation Sessions (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/rs00058670-slift-levitation-sessions
Spiritualized - Spaceman Demo Mixes (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/rs00058637-spiritualized-spaceman-demo-mixes
Strokes - New Abnormal (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/ln00054586-strokes-new-abnormal
Sufjan Stevens - Carrie and Lowell (Vinyle Neuf),$18.99,https://aux33tours.com/collections/nouveautes/products/sufjan-stevens-carrie-and-lowell
Suki Waterhouse - Milk Teeth (Vinyle Neuf),$24.99,https://aux33tours.com/collections/nouveautes/products/rs00057961-suki-waterhouse-milk-teeth
Thom Yorke - The Eraser (Vinyle Neuf),$35.99,https://aux33tours.com/collections/nouveautes/products/ln00000847-thom-yorke-the-eraser
Vampire Weekend - Modern Vampires In the City (Vinyle Neuf),$28.99,https://aux33tours.com/collections/nouveautes/products/vampire-weekend-modern-vampires-in-the-city
Vieux Farka Toure / Khruangbin - Ali (Couleur) (Vinyle Neuf),$26.99,https://aux33tours.com/collections/nouveautes/products/rs00056836-vieux-farka-toure-khruangbin-ali-couleur
Violent Femmes - Violent Femmes (Vinyle Neuf),$41.99,https://aux33tours.com/collections/nouveautes/products/ln00000205-violent-femmes-violent-femmes
War On Drugs - I Dont Live Here Anymore (Indie) (Vinyle Neuf),$52.99,https://aux33tours.com/collections/nouveautes/products/rs00050591-war-on-drugs-i-dont-live-here-anymore-indie
Weyes Blood - Titanic Rising (Vinyle Neuf),$29.99,https://aux33tours.com/collections/nouveautes/products/ln00047749-weyes-blood-titanic-rising
White Stripes - Elephant (Vinyle Neuf),$34.99,https://aux33tours.com/collections/nouveautes/products/ln00018793-white-stripes-elephant
Woodkid - S16 (Vinyle Neuf),$43.99,https://aux33tours.com/collections/nouveautes/products/ln00056966-woodkid-s16
